,race,duplicate,time,class
10-618-IgGM2-1_S186,Holstein,618,NO,IgGM2
11-278-IgGM2-1_S187,Holstein,NO,278,IgGM2
12-9004-IgGM2-1_S188,Holstein,NO,9004,IgGM2
13-279-IgGM2-1_S189,Holstein,NO,279,IgGM2
14-281-IgGM2-1_S190,Holstein,NO,281,IgGM2
15-291-IgGM2-1_S191,Holstein,NO,291,IgGM2
16-637-IgGM2-1_S192,Holstein,NO,637,IgGM2
17-641-IgGM2-1_S193,Holstein,NO,641,IgGM2
18-720-IgGM2-1_S194,Holstein,NO,720,IgGM2
19-257-IgGM2-1_S195,Ayrshire,NO,NO,IgGM2
2-234-IgGM2-1_S178,Holstein,234,NO,IgGM2
20-261-IgGM2-1_S196,Ayrshire,NO,NO,IgGM2
21-262-IgGM2-1_S197,Ayrshire,NO,NO,IgGM2
22-264-IgGM2-1_S198,Ayrshire,NO,NO,IgGM2
23-267-IgGM2-1_S199,Holstein,NO,NO,IgGM2
24-268-IgGM2-1_S200,Ayrshire,NO,NO,IgGM2
25-271-IgGM2-1_S201,Ayrshire,NO,NO,IgGM2
27-266-IgGM2-1_S203,Ayrshire,NO,NO,IgGM2
28-272-IgGM2-1_S204,Ayrshire,NO,NO,IgGM2
29-273-IgGM2-1_S205,Ayrshire,NO,NO,IgGM2
3-241-IgGM2-1_S179,Holstein,241,241,IgGM2
30-275-IgGM2-1_S206,Ayrshire,NO,NO,IgGM2
31-277-IgGM2-1_S207,Ayrshire,NO,NO,IgGM2
32-234-IgGM2-1_S208,Holstein,NO,234,IgGM2
33-241-IgGM2-1_S209,Holstein,NO,241,IgGM2
34-253-IgGM2-1_S210,Holstein,NO,253,IgGM2
35-603-IgGM2-1_S211,Holstein,NO,603,IgGM2
36-618-IgGM2-1_S212,Holstein,NO,618,IgGM2
37-278-IgGM2-1_S213,Holstein,NO,278,IgGM2
38-9004-IgGM2-1_S214,Holstein,NO,9004,IgGM2
39-279-IgGM2-1_S215,Holstein,NO,279,IgGM2
4-241-IgGM2-1_S180,Holstein,241,NO,IgGM2
40-281-IgGM2-1_S216,Holstein,NO,281,IgGM2
41-291-IgGM2-1_S217,Holstein,NO,291,IgGM2
42-637-IgGM2-1_S218,Holstein,NO,637,IgGM2
43-641-IgGM2-1_S219,Holstein,NO,641,IgGM2
44-720-IgGM2-1_S220,Holstein,NO,720,IgGM2
5-253-IgGM2-1_S181,Holstein,253,253,IgGM2
6-253-IgGM2-1_S182,Holstein,253,NO,IgGM2
7-603-IgGM2-1_S183,Holstein,603,603,IgGM2
8-603-IgGM2-1_S184,Holstein,603,NO,IgGM2
9-618-IgGM2-1_S185,Holstein,618,618,IgGM2
